"male_normal_vs_deep"	"male_normal_vs_shallow"	"male_shallow_vs_deep"	"female_normal_vs_deep"	"female_normal_vs_shallow"	"female_shallow_vs_deep"
"ENSG00000011376.12_LARS2"	0	0	0	0	0	0
"ENSG00000011405.13_PIK3C2A"	NA	NA	NA	0	0	0
"ENSG00000011422.12_PLAUR"	0	0.292375905949139	0	0	0.436791805916609	0
"ENSG00000011426.11_ANLN"	0	0	0	1.44929823090668	0.281898919857657	0
"ENSG00000011451.21_WIZ"	1.00424064441154	0	1.0805134730136	0	0	0
"ENSG00000011454.18_RABGAP1"	0	0	0	0	0	0
"ENSG00000011465.18_DCN"	0	0	0	0	0	0
"ENSG00000011478.13_QPCTL"	0	0	0	0	-0.238678117851692	0
"ENSG00000011485.15_PPP5C"	0	0	0	0	0	0
"ENSG00000011523.14_CEP68"	0	-0.245551149362858	0	0	-0.38502206734664	0
"ENSG00000011566.15_MAP4K3"	0	0	0	0	0	0
"ENSG00000011590.14_ZBTB32"	0	0	0	0	0	0
"ENSG00000011600.12_TYROBP"	0	0	0	0	0.39294807110638	0
"ENSG00000011638.11_TMEM159"	0	0	0	0	-0.359242419240235	0
"ENSG00000011677.13_GABRA3"	0	-1.13789169062419	0	0	-1.48933188152643	0
"ENSG00000012048.23_BRCA1"	0	0	0	1.28437284822968	0	1.26585329353512
"ENSG00000012061.16_ERCC1"	0	0	0	0	0	0
"ENSG00000012124.17_CD22"	0	1.45913857581127	0	0	0	0
"ENSG00000012171.20_SEMA3B"	0	0	0	0	0.434042483425592	0
"ENSG00000012174.12_MBTPS2"	0	0	0	0	0	0
"ENSG00000012211.13_PRICKLE3"	0	-0.177964494587594	0	0	0	0
"ENSG00000012223.13_LTF"	0	0.933985350706806	0	0	0	0
"ENSG00000012232.9_EXTL3"	0	0.21008578705285	0	0	0.244797932688762	0
"ENSG00000012504.15_NR1H4"	0	0.882126519209332	0	0	0	0
"ENSG00000012660.14_ELOVL5"	0	0	0	0	0	0
"ENSG00000012779.11_ALOX5"	0	0.737366872924116	0	0	0.645216434851341	0
"ENSG00000012817.16_KDM5D"	0	0	0	0	0	0
"ENSG00000012822.16_CALCOCO1"	0	-0.237674551749816	0	-0.880807726335561	-0.183662892767972	0
"ENSG00000012963.15_UBR7"	0	0.149458532687097	0	0	0.23263478704233	0
"ENSG00000012983.11_MAP4K5"	0	0	0	0	0	0
"ENSG00000013016.16_EHD3"	0	0	0	0	0	0
"ENSG00000013275.8_PSMC4"	0	0	0	0	0	0
