"female_normal_vs_deep"	"female_normal_vs_shallow"	"female_shallow_vs_deep"	"male_normal_vs_deep"	"male_normal_vs_shallow"	"male_shallow_vs_deep"
"ENSG00000011332.19_DPF1"	0	-0.466943379294562	0	0	0	0
"ENSG00000011347.10_SYT7"	0	0	0	0	0	0
"ENSG00000011376.12_LARS2"	0	0	0	0	0	0
"ENSG00000011405.13_PIK3C2A"	0	0	0	0	0	0
"ENSG00000011422.12_PLAUR"	0	0	0	0	0	0
"ENSG00000011426.11_ANLN"	0	0	0	0	-0.524592690460363	0
"ENSG00000011451.21_WIZ"	0	0	0	0	0	0
"ENSG00000011454.18_RABGAP1"	0	0	0	0	0.262075206634696	0
"ENSG00000011465.18_DCN"	0	0	0	0	0	0
"ENSG00000011478.13_QPCTL"	0	0	0	0	0	0
"ENSG00000011485.15_PPP5C"	0	0	0	0	0	0
"ENSG00000011523.14_CEP68"	0	0	0	0	0	0
"ENSG00000011566.15_MAP4K3"	0	0	0	0	0	0
"ENSG00000011590.14_ZBTB32"	0	0	0	0	0	0
"ENSG00000011600.12_TYROBP"	0	0	0	0	0	0
"ENSG00000011638.11_TMEM159"	0	0	0	0	0	0
"ENSG00000011677.13_GABRA3"	0	0	0	0	0	0
"ENSG00000012048.23_BRCA1"	0	-0.403650626553118	0	0	-0.322445988671227	0
"ENSG00000012061.16_ERCC1"	0	0	0	0	0	0
"ENSG00000012124.17_CD22"	0	0	0	0	0	0
"ENSG00000012171.20_SEMA3B"	0	0.545190468597854	0	0	0.840155959738515	0
"ENSG00000012174.12_MBTPS2"	0	0	0	0	0	0
"ENSG00000012211.13_PRICKLE3"	0	-0.263682000404415	0	0	0	0
"ENSG00000012223.13_LTF"	0	0	0	0	0	0
"ENSG00000012232.9_EXTL3"	0	0	0	0	0	0
"ENSG00000012504.15_NR1H4"	0	0.777343953637915	0	3.64322357642917	1.80575521699275	0
"ENSG00000012660.14_ELOVL5"	0	0	0	0	-0.299868223960078	0
"ENSG00000012779.11_ALOX5"	0	0.375726767043638	0	0	0	0
"ENSG00000012817.16_KDM5D"	0	0	0	0	0	0
"ENSG00000012822.16_CALCOCO1"	0	0.326997032398067	0	0	0.287906639062854	0
"ENSG00000012963.15_UBR7"	0	0	0	0	0	0
"ENSG00000012983.11_MAP4K5"	0	-0.138161313954859	0	0	0	0
"ENSG00000013016.16_EHD3"	0	0	0	0	0	0
"ENSG00000013275.8_PSMC4"	0	0	0	0	0	0
"ENSG00000013288.9_MAN2B2"	0	0	0	0	0	0
"ENSG00000013293.6_SLC7A14"	0	0	0	NA	-0.86340034639252	NA
"ENSG00000013297.12_CLDN11"	0	-0.522458156379281	0	0	-0.90010266666328	0
"ENSG00000013306.16_SLC25A39"	0	-0.400337880519499	0	0	0	0
"ENSG00000013364.19_MVP"	0	0	0	0	0	0
"ENSG00000013374.16_NUB1"	0	0	0	0	0	0
"ENSG00000013375.16_PGM3"	0	0	0	0	0	0
"ENSG00000013392.8_RWDD2A"	0	0	0	0	0	0
"ENSG00000013441.16_CLK1"	0	0	0	0	0	0
"ENSG00000013503.10_POLR3B"	0	0	0	0	0	0
"ENSG00000013523.11_ANGEL1"	0	0	0	0	0	0
"ENSG00000013561.18_RNF14"	0	0	0	0	0	0
"ENSG00000013563.14_DNASE1L1"	0	0	0	0	0	0
"ENSG00000013573.17_DDX11"	0	0	0	0	0	0
"ENSG00000013583.10_HEBP1"	0	0	0	0	0	0
"ENSG00000013588.9_GPRC5A"	0	0.433880830595746	0	0	0.411276976411397	0
"ENSG00000013619.14_MAMLD1"	0	-0.389003611161896	0	0	0	0
"ENSG00000013725.14_CD6"	0	0	0	0	0	0
"ENSG00000013810.20_TACC3"	0	-0.45671438834496	0	0	0	0
"ENSG00000014123.10_UFL1"	0	0	0	0	0	0
"ENSG00000014138.9_POLA2"	0	-0.278356243852718	0	0	0	0
"ENSG00000014164.7_ZC3H3"	0	-0.305690564854992	0	0	0	0
"ENSG00000014216.16_CAPN1"	0	0	0	0	0	0
"ENSG00000014257.16_ACP3"	0	0	0	0	0	0
"ENSG00000014641.21_MDH1"	0	0	0	0	0	0
"ENSG00000014824.14_SLC30A9"	0	0	0	0	0	0
"ENSG00000014914.21_MTMR11"	0	0	0	0	0	0
"ENSG00000014919.13_COX15"	0	0	0	0	0.181311603613329	0
"ENSG00000015133.19_CCDC88C"	0	0	0	0	0	0
"ENSG00000015153.15_YAF2"	0	-0.210546596193632	0	0	0	0
"ENSG00000015171.20_ZMYND11"	0	0	0	0	0	0
"ENSG00000015285.11_WAS"	0	0	0	0	0	0
"ENSG00000015413.9_DPEP1"	0	0	0	0	0	0
"ENSG00000015475.19_BID"	0	0	0	0	0	0
"ENSG00000015479.20_MATR3"	0	0	0	0	0	0
"ENSG00000015520.15_NPC1L1"	0	0	0	0	0	0
"ENSG00000015532.10_XYLT2"	0	-0.178006231286731	0	0	0	0
"ENSG00000015568.13_RGPD5"	0	0.952551227744933	0	NA	0	NA
"ENSG00000015592.16_STMN4"	NA	0	NA	NA	0	NA
"ENSG00000015676.18_NUDCD3"	0	0	0	0	0	0
"ENSG00000016082.15_ISL1"	0	0	0	0	0	0
"ENSG00000016391.11_CHDH"	0	0	0	0	0	0
"ENSG00000016402.13_IL20RA"	0	0	0	0	0.483465712843251	0
"ENSG00000016490.16_CLCA1"	0	0	0	NA	-1.47510665990894	0
"ENSG00000016602.9_CLCA4"	0	0	0	0	0.762576005479547	0
"ENSG00000016864.18_GLT8D1"	0	0	0	0	0	0
"ENSG00000017260.20_ATP2C1"	0	0	0	0	-0.257933860584954	0
"ENSG00000017427.17_IGF1"	0	0	0	0	-0.508621612423903	0
"ENSG00000017483.15_SLC38A5"	0	0	0	0	0	0
"ENSG00000017797.13_RALBP1"	0	0	0	0	0	0
"ENSG00000018189.13_RUFY3"	0	0	0	0	0	0
"ENSG00000018236.15_CNTN1"	0	-0.981109165677472	0	0	-0.650705644312039	0
"ENSG00000018280.17_SLC11A1"	0	0.332277293884543	0	0	0	0
"ENSG00000018408.15_WWTR1"	0	0	0	0	0	0
"ENSG00000018510.17_AGPS"	0	0	0	0	0	0
"ENSG00000018607.7_ZNF806"	NA	-1.01662358459271	NA	NA	-1.16740432929958	NA
"ENSG00000018610.15_CXorf56"	0	0	0	0	0	0
"ENSG00000018625.15_ATP1A2"	0	0.628644840862131	0	0	0.953392872549819	0
"ENSG00000018699.13_TTC27"	0	-0.162429553236967	0	0	0	0
"ENSG00000018869.17_ZNF582"	0	0	0	0	0	0
"ENSG00000019102.12_VSIG2"	0	1.03076228730895	0	0	1.16538997096638	0
"ENSG00000019144.19_PHLDB1"	0	0	0	0	0	0
"ENSG00000019169.10_MARCO"	0	0.742975126402217	0	0	0	0
"ENSG00000019186.10_CYP24A1"	0	0	0	0	0	0
"ENSG00000019485.13_PRDM11"	0	0.212269551005624	0	0	0.333110712811851	0
"ENSG00000019505.8_SYT13"	NA	NA	NA	0	0	0
