"LUAD_NORMAL_DEEP"	"LUAD_NORMAL_SHALLOW"	"LUAD_SHALLOW_DEEP"	"LUAD_MALE_FEMALE"	"LUAD_MALE_NORMAL_DEEP"	"LUAD_MALE_NORMAL_SHALLOW"	"LUAD_MALE_SHALLOW_DEEP"	"LUAD_FEMALE_NORMAL_DEEP"	"LUAD_FEMALE_NORMAL_SHALLOW"	"LUAD_FEMALE_SHALLOW_DEEP"
"ENSG00000008324.12_SS18L2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008382.16_MPND"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008394.13_MGST1"	0	0	0	0.353687725125116	0	0	0	0	0	0
"ENSG00000008405.12_CRY1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008438.5_PGLYRP1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008441.18_NFIX"	0	0.446485121537566	0	-0.3915354484083	0	0	0	0	0.524726435568802	0
"ENSG00000008513.16_ST3GAL1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008516.17_MMP25"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008517.18_IL32"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008710.20_PKD1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008735.14_MAPK8IP2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008838.20_MED24"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008853.17_RHOBTB2"	0	0.653160976085925	0	0	0	0.717345909194952	0	0	0.588086401421567	0
"ENSG00000008869.12_HEATR5B"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008952.17_SEC62"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008988.11_RPS20"	0	0	0	0	0	0	0	0	0	0
"ENSG00000009307.16_CSDE1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000009335.18_UBE3C"	0	0	0	0	0	0	0	0	0	0
"ENSG00000009413.16_REV3L"	0	0	0	0	0	0	0	0	0	0
"ENSG00000009694.13_TENM1"	0	0	0	0	3.8710825048335	0	4.19868191898016	0	0	0
"ENSG00000009709.12_PAX7"	0	0	0	0	0	0	0	0	0	0
"ENSG00000009724.17_MASP2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000009765.15_IYD"	0	0	0	0	0	0	0	0	0	0
"ENSG00000009780.16_FAM76A"	0	0	0	0	0	0	0	0	0	0
"ENSG00000009790.15_TRAF3IP3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000009830.12_POMT2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000009844.16_VTA1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000009950.16_MLXIPL"	0	0	0	0	0	0	0	0	0	0
"ENSG00000009954.11_BAZ1B"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010017.13_RANBP9"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010030.14_ETV7"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010072.16_SPRTN"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010165.20_EEF1AKNMT"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010219.13_DYRK4"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010244.19_ZNF207"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010256.11_UQCRC1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000010270.14_STARD3NL"	0	-0.228193814948742	0	0	0	0	0	0	0	0
"ENSG00000010278.15_CD9"	0	0	0	0	0	0	0	0	0	0
